"Code","Year","Estimate","Low","High"
"ETH",2017,1755748,NA,NA
"MMR",2017,85019,NA,NA
"NAM",2022,11849,NA,NA
"AZE",2022,1,NA,NA
"MYS",2015,2311,NA,NA
"DJI",2015,9557,NA,NA
"MLI",2018,2614104,NA,NA
"EUR",2015,240,NA,NA
"WPR",2015,813712,NA,NA
"CHN",2016,3151,NA,NA
"BTN",2015,104,NA,NA
"GNQ",2019,43897,NA,NA
"SEAR",2017,1240255,NA,NA
"GNQ",2023,76921,NA,NA
"BWA",2022,446,NA,NA
"TGO",2019,2406091,NA,NA
"LKA",2015,36,NA,NA
"SWZ",2018,957,NA,NA
"BFA",2015,8286453,NA,NA
"MYS",2017,4114,NA,NA
"BDI",2019,9983843,NA,NA
"TCD",2020,1890264,NA,NA
"SAU",2021,1091,NA,NA
"TGO",2020,1737469,NA,NA
"BDI",2022,8124159,NA,NA
"UZB",2018,0,NA,NA
"BOL",2015,6907,NA,NA
"GMB",2017,83668,NA,NA
"PAK",2017,2209708,NA,NA
"BRA",2016,152160,NA,NA
"SEN",2017,398377,NA,NA
"NAM",2023,13735,NA,NA
"TCD",2015,1490556,NA,NA
"KGZ",2017,2,NA,NA
"TZA",2018,6558257,NA,NA
"GUF",2021,143,NA,NA
"BEN",2015,2042684,NA,NA
"SUR",2020,238,NA,NA
"VNM",2019,5987,NA,NA
"SAU",2018,2711,NA,NA
"VUT",2022,1143,NA,NA
"GLOBAL",2019,175090901,NA,NA
"LBR",2021,983978,NA,NA
"SUR",2019,215,NA,NA
"CMR",2018,3550183,NA,NA
"SEAR",2015,1659425,NA,NA
"PAN",2020,2206,NA,NA
"SEN",2015,502084,NA,NA
"TGO",2016,1746334,NA,NA
"DZA",2020,2726,NA,NA
"GHA",2021,6077543,NA,NA
"NAM",2019,3404,NA,NA
"TJK",2022,1,NA,NA
"MMR",2023,228567,NA,NA
"GIN",2021,2450957,NA,NA
"BDI",2018,5149436,NA,NA
"DZA",2019,1014,NA,NA
"NER",2021,4661376,NA,NA
"LAO",2015,36078,NA,NA
"BGD",2015,39719,NA,NA
"MYT",2019,55,NA,NA
"DZA",2018,1242,NA,NA
"BRA",2019,190745,NA,NA
"TZA",2023,3775205,NA,NA
"MRT",2022,130720,NA,NA
"CAF",2018,995157,NA,NA
"GAB",2021,141195,NA,NA
"BLZ",2015,13,NA,NA
"HND",2023,2631,NA,NA
"BFA",2017,12255671,NA,NA
"COM",2021,10547,NA,NA
"BRA",2023,167170,NA,NA
"KEN",2021,4697886,NA,NA
"SDN",2018,3627586,NA,NA
"GTM",2017,4124,NA,NA
"HTI",2020,22996,NA,NA
"NER",2023,4486983,NA,NA
"GMB",2022,119104,NA,NA
"PHL",2016,6690,NA,NA
"MWI",2017,5936348,NA,NA
"LAO",2023,695,NA,NA
"SAU",2023,6460,NA,NA
"SLB",2019,86122,NA,NA
"DZA",2021,1164,NA,NA
"BGD",2018,10523,NA,NA
"BFA",2019,6474757,NA,NA
"DOM",2023,271,NA,NA
"MEX",2018,803,NA,NA
"KEN",2018,10875734,NA,NA
"COM",2015,2101,NA,NA
"PER",2018,45619,NA,NA
"SUR",2018,235,NA,NA
"BTN",2019,42,NA,NA
"COM",2017,3896,NA,NA
"BTN",2016,74,NA,NA
"COL",2021,74707,NA,NA
"BLZ",2017,9,NA,NA
"SDN",2022,3768163,NA,NA
"TCD",2016,1402215,NA,NA
"BEN",2020,2632959,NA,NA
"KEN",2019,5270358,NA,NA
"TUR",2016,209,NA,NA
"SOM",2016,58021,NA,NA
"CMR",2019,3011133,NA,NA
"CHN",2019,2487,NA,NA
"SAU",2019,2152,NA,NA
"SSD",2016,555957,NA,NA
"MLI",2016,2465914,NA,NA
"LBR",2015,1835238,NA,NA
"LKA",2016,41,NA,NA
"RWA",2017,5940533,NA,NA
"CPV",2022,27,NA,NA
"NIC",2015,2308,NA,NA
"CPV",2023,37,NA,NA
"SLB",2016,84514,NA,NA
"PRK",2016,5113,NA,NA
"BGD",2019,17225,NA,NA
"STP",2020,1944,NA,NA
"RWA",2018,4231883,NA,NA
"GUY",2023,28776,NA,NA
"NIC",2019,13226,NA,NA
"AZE",2017,1,NA,NA
"TLS",2018,8,NA,NA
"COG",2016,374252,NA,NA
"MWI",2016,5165386,NA,NA
"CIV",2017,4152065,NA,NA
"DOM",2018,484,NA,NA
"UGA",2015,13696889,NA,NA
"VEN",2020,232757,NA,NA
"AMR",2019,848782,NA,NA
"MMR",2019,56414,NA,NA
"DZA",2022,1292,NA,NA
"CRI",2020,145,NA,NA
"ZMB",2020,8698304,NA,NA
"IDN",2022,443530,NA,NA
"MYT",2015,11,NA,NA
"SLE",2023,2148650,NA,NA
"ZAF",2017,29615,NA,NA
"PHL",2022,3245,NA,NA
"COL",2020,81829,NA,NA
"PNG",2017,892235,NA,NA
"GAB",2022,100290,NA,NA
"ERI",2016,80450,NA,NA
"STP",2015,2058,NA,NA
"BLZ",2021,0,NA,NA
"AGO",2015,3254270,NA,NA
"LBR",2016,2343410,NA,NA
"COM",2023,21079,NA,NA
"SEN",2018,536745,NA,NA
"BRA",2022,151530,NA,NA
"BDI",2017,9259694,NA,NA
"EMR",2018,5293554,NA,NA
"ZMB",2023,8470695,NA,NA
"COD",2016,16888006,NA,NA
"SLB",2018,72430,NA,NA
"KHM",2020,9964,NA,NA
"BEN",2016,1667005,NA,NA
"HTI",2015,17583,NA,NA
"ARG",2021,13,NA,NA
"ECU",2022,1666,NA,NA
"DOM",2020,829,NA,NA
"BFA",2018,11991146,NA,NA
"TJK",2017,3,NA,NA
"GUY",2021,20850,NA,NA
"CIV",2021,7633965,NA,NA
"BWA",2017,1911,NA,NA
"BOL",2018,5354,NA,NA
"TUR",2017,214,NA,NA
"MRT",2018,175841,NA,NA
"STP",2017,2241,NA,NA
"BEN",2021,2928382,NA,NA
"PRY",2017,5,NA,NA
"STP",2018,2940,NA,NA
"GNQ",2022,98346,NA,NA
"CAF",2016,1607079,NA,NA
"MEX",2015,551,NA,NA
"GNB",2015,150085,NA,NA
"IND",2020,186532,NA,NA
"GIN",2022,2548231,NA,NA
"ETH",2023,3288168,NA,NA
"VNM",2018,6870,NA,NA
"THA",2018,6750,NA,NA
"BFA",2016,9799818,NA,NA
"CHN",2022,820,NA,NA
"NAM",2015,12050,NA,NA
"SLV",2021,4,NA,NA
"ETH",2021,1487758,NA,NA
"MMR",2021,79001,NA,NA
"ARM",2023,2,NA,NA
"SEAR",2019,671608,NA,NA
"IRN",2022,5677,NA,NA
"SWZ",2016,317,NA,NA
"SLE",2018,1781855,NA,NA
"SLV",2015,9,NA,NA
"MRT",2017,182677,NA,NA
"VEN",2017,525897,NA,NA
"THA",2019,5421,NA,NA
"SSD",2020,1805371,NA,NA
"SSD",2023,5089688,NA,NA
"ARG",2017,16,NA,NA
"WPR",2019,790987,NA,NA
"COD",2020,24959997,NA,NA
"EUR",2016,230,NA,NA
"IND",2019,338494,NA,NA
"KOR",2021,294,NA,NA
"AFR",2019,168282485,NA,NA
"HND",2016,4097,NA,NA
"AFG",2021,86370,NA,NA
"COL",2015,65453,NA,NA
"THA",2016,17800,NA,NA
"CPV",2019,40,NA,NA
"PNG",2018,940693,NA,NA
"HND",2018,653,NA,NA
"IDN",2019,250646,NA,NA
"EUR",2017,234,NA,NA
"DJI",2020,73535,NA,NA
"BWA",2021,729,NA,NA
"NGA",2021,23608797,NA,NA
"BGD",2023,16567,NA,NA
"STP",2016,2238,NA,NA
"GTM",2023,3053,NA,NA
"SWZ",2023,845,NA,NA
"COD",2021,24592389,NA,NA
"COM",2022,20681,NA,NA
"MEX",2016,596,NA,NA
"THA",2023,16684,NA,NA
"MEX",2021,275,NA,NA
"NPL",2016,10687,NA,NA
"SSD",2018,4697506,NA,NA
"SEN",2022,391679,NA,NA
"SLB",2023,147145,NA,NA
"GAB",2020,127500,NA,NA
"COD",2023,29630177,NA,NA
"SLE",2015,1569606,NA,NA
"TLS",2017,30,NA,NA
"HND",2021,1657,NA,NA
"VUT",2018,644,NA,NA
"NER",2016,5166336,NA,NA
"MDG",2017,1163807,NA,NA
"GAB",2018,797278,NA,NA
"ECU",2015,686,NA,NA
"VEN",2018,522059,NA,NA
"MWI",2015,4933416,NA,NA
"SEAR",2020,512084,NA,NA
"AGO",2023,10496880,NA,NA
"MLI",2023,3517583,NA,NA
"IDN",2020,254055,NA,NA
"ECU",2020,2089,NA,NA
"TLS",2019,9,NA,NA
"NIC",2020,31763,NA,NA
"SSD",2022,5538588,NA,NA
"GAB",2015,217287,NA,NA
"TZA",2020,6346069,NA,NA
"SLV",2017,4,NA,NA
"MLI",2020,3363800,NA,NA
"COG",2023,737651,NA,NA
"GLOBAL",2015,150850429,NA,NA
"CIV",2022,8408469,NA,NA
"CAF",2023,1979614,NA,NA
"VUT",2019,576,NA,NA
"MYS",2018,4630,NA,NA
"SDN",2021,3960654,NA,NA
"KOR",2017,515,NA,NA
"ZWE",2016,384029,NA,NA
"SSD",2021,3149649,NA,NA
"WPR",2017,1069932,NA,NA
"IND",2023,227564,NA,NA
"PNG",2020,932973,NA,NA
"GAB",2016,161508,NA,NA
"GLOBAL",2016,167618467,NA,NA
"IDN",2023,418533,NA,NA
"SOM",2015,39169,NA,NA
"GUF",2017,597,NA,NA
"NGA",2018,20482380,NA,NA
"BTN",2022,6,NA,NA
"TCD",2021,1811859,NA,NA
"YEM",2015,104831,NA,NA
"AMR",2017,931744,NA,NA
"VNM",2016,10446,NA,NA
"AFR",2020,168364949,NA,NA
"SUR",2017,551,NA,NA
"GMB",2019,53386,NA,NA
"BRA",2021,163585,NA,NA
"TUR",2020,135,NA,NA
"THA",2015,27385,NA,NA
"IND",2021,161753,NA,NA
"ECU",2018,1806,NA,NA
"AFG",2018,299863,NA,NA
"AMR",2015,478623,NA,NA
"AGO",2019,7530788,NA,NA
"RWA",2019,3612822,NA,NA
"VUT",2016,2531,NA,NA
"CHN",2015,3279,NA,NA
"CRI",2022,462,NA,NA
"PAK",2016,2126497,NA,NA
"LAO",2021,3926,NA,NA
"SEN",2016,356272,NA,NA
"MMR",2018,76518,NA,NA
"SDN",2023,1304528,NA,NA
"BGD",2022,18246,NA,NA
"KEN",2022,5232307,NA,NA
"AZE",2019,0,NA,NA
"SEN",2019,359246,NA,NA
"GMB",2015,255403,NA,NA
"IDN",2017,261617,NA,NA
"KHM",2018,62582,NA,NA
"IND",2022,176522,NA,NA
"SSD",2017,4054795,NA,NA
"BEN",2019,3084525,NA,NA
"COM",2018,19682,NA,NA
"GLOBAL",2017,171934569,NA,NA
"TKM",2019,3,NA,NA
"LKA",2019,54,NA,NA
"GAB",2023,137856,NA,NA
"SAU",2016,5382,NA,NA
"COD",2015,12538805,NA,NA
"TJK",2020,0,NA,NA
"DOM",2022,337,NA,NA
"MWI",2022,4221797,NA,NA
"CMR",2022,3382676,NA,NA
"LBR",2022,760056,NA,NA
"MYT",2023,38,NA,NA
"PRY",2021,4,NA,NA
"PER",2016,56671,NA,NA
"COL",2023,105479,NA,NA
"CIV",2015,3606725,NA,NA
"COL",2016,86407,NA,NA
"UZB",2015,0,NA,NA
"PER",2020,15847,NA,NA
"BDI",2015,5512414,NA,NA
"GUF",2023,340,NA,NA
"AZE",2018,2,NA,NA
"NER",2019,4402685,NA,NA
"HTI",2019,10687,NA,NA
"ARG",2020,13,NA,NA
"BTN",2021,23,NA,NA
"YEM",2017,143333,NA,NA
"ARM",2017,2,NA,NA
"COG",2018,324615,NA,NA
"HTI",2021,9513,NA,NA
"ARM",2016,2,NA,NA
"GMB",2016,164421,NA,NA
"ZMB",2016,5976192,NA,NA
"KGZ",2019,1,NA,NA
"KEN",2015,8219230,NA,NA
"NPL",2017,3610,NA,NA
"VEN",2022,151458,NA,NA
"VEN",2023,130077,NA,NA
"GUF",2015,434,NA,NA
"ZWE",2022,141076,NA,NA
"ZAF",2016,4323,NA,NA
"BEN",2017,1968532,NA,NA
"BWA",2016,725,NA,NA
"IND",2018,429928,NA,NA
"BOL",2022,10330,NA,NA
"ARG",2019,22,NA,NA
"COM",2019,17697,NA,NA
"KEN",2016,8647072,NA,NA
"ERI",2021,44036,NA,NA
"SOM",2018,31030,NA,NA
"UGA",2019,15592793,NA,NA
"HTI",2023,14436,NA,NA
"KHM",2016,43380,NA,NA
"GIN",2020,2029517,NA,NA
"EUR",2019,297,NA,NA
"SUR",2016,332,NA,NA
"GEO",2019,8,NA,NA
"MOZ",2022,12405868,NA,NA
"RWA",2022,857228,NA,NA
"MRT",2015,195740,NA,NA
"IDN",2021,304607,NA,NA
"TJK",2015,5,NA,NA
"MYS",2016,2302,NA,NA
"NPL",2020,430,NA,NA
"TZA",2019,6575185,NA,NA
"ZMB",2017,6054679,NA,NA
"MWI",2023,6451946,NA,NA
"TKM",2015,0,NA,NA
"THA",2021,3279,NA,NA
"SOM",2022,23450,NA,NA
