"Code","Year","Estimate","Low","High"
"HTI",2008,10.51722,6.22536,16.56919
"COL",2005,17.8943,13.83569,22.1557
"PRK",2014,1.05882,NA,NA
"COD",2001,457.7036,365.85087,567.53423
"PRY",2000,37.31941,37.31941,37.31941
"EGY",2013,0,0,0
"TKM",2016,0,0,0
"SDN",2003,57.60062,35.48417,89.08461
"BRA",2018,5.22978,4.67894,5.65794
"CHN",2011,0.0023,0.0023,0.0023
"ZMB",2002,368.26735,289.75628,461.641
"TJK",2008,0.12974,0.12974,0.12974
"MDG",2006,33.78065,1.51085,75.35047
"ECU",2008,0.59215,0.59215,0.59215
"RWA",2001,172.94229,75.92033,345.59509
"MEX",2012,0.33636,0.33636,0.33636
"UZB",2016,0,0,0
"GTM",2015,0.5376,0.47888,0.61888
"SLV",2008,0.02696,0.02696,0.02696
"MEX",2008,1.00729,1.00729,1.00729
"ARM",2002,0.01702,0.01702,0.01702
"GNQ",2008,333.42923,241.99955,443.84715
"BLZ",2002,6.41966,6.41966,6.41966
"NER",2018,349.75283,220.67247,528.98666
"GUF",2003,44.33291,39.11818,52.29159
"BRA",2015,4.02024,3.59436,4.3486
"AFG",2016,27.36698,19.86799,36.75117
"COD",2018,338.67577,257.469,434.34787
"SAU",2023,0,0,0
"STP",2021,12.2499,NA,NA
"SWZ",2001,4.74009,4.74009,4.74009
"AMR",2007,7.59601,6.97557,8.24723
"SLB",2004,718.98039,400.25635,1164.05396
"KGZ",2013,0,0,0
"CIV",2015,241.6867,160.56329,349.14892
"AMR",2004,9.18866,8.5523,9.90697
"GLOBAL",2015,58.03269,53.83873,62.87475
"DZA",2010,0.00047,0.00047,0.00047
"NPL",2015,0.07314,0.07314,0.07314
"NPL",2014,0.10353,0.10353,0.10353
"KEN",2021,63.68773,40.38833,95.67862
"SYR",2020,0,0,0
"AMR",2012,4.22467,3.93358,4.57953
"GTM",2010,0.86494,0.71055,1.09954
"ECU",2009,0.49108,0.49108,0.49108
"SYR",2021,0,0,0
"VEN",2002,2.75432,2.42572,3.2579
"SEN",2005,132.61116,39.21986,238.78231
"MDG",2001,65.25568,9.03885,140.22267
"SLV",2001,0.2988,0.2988,0.2988
"SLE",2018,359.92366,259.8646,489.5277
"BFA",2000,597.17363,475.65303,740.85415
"ZMB",2012,199.5574,155.23312,252.28293
"SEN",2017,52.06404,36.11785,69.00316
"MWI",2003,403.39024,316.52393,502.27368
"DJI",2009,3.92936,3.92936,3.92936
"ZAF",2008,1.5252,1.5252,1.5252
"ZAF",2023,0.83702,0.83702,0.83702
"HTI",2021,2.2186,1.34221,3.4395
"VUT",2006,106.25547,65.46686,162.79878
"KEN",2019,58.68428,40.56339,81.95962
"GTM",2018,0.27821,0.24746,0.32067
"IRQ",2018,0,0,0
"BEN",2001,428.33253,312.87701,570.56495
"HND",2013,0.90339,0.70654,1.10757
"PAK",2020,2.35005,1.8567,3.15089
"TGO",2018,250.1525,186.57422,327.47896
"GNB",2014,106.84145,46.97011,213.78773
"ARG",2010,0.26157,0.26157,0.26157
"VEN",2007,3.53238,3.14791,4.12953
"ETH",2019,33.61049,18.57078,50.26059
"GNQ",2003,335.26329,230.27002,467.66225
"PRY",2016,0,0,0
"AZE",2007,0.53189,0.53189,0.53189
"BEN",2008,465.37258,374.35969,573.58091
"TCD",2009,244.90042,185.10725,321.2976
"VEN",2009,2.94863,2.63004,3.41599
"MDG",2020,138.73063,92.02797,190.07155
"CAF",2014,369.20848,243.5832,537.94119
"MMR",2012,40.40307,28.9287,58.78342
"SLV",2013,0.00481,0.00481,0.00481
"KGZ",2010,7e-04,7e-04,7e-04
"LBR",2004,407.80439,258.55969,621.74412
"COL",2017,7.59807,5.6283,9.76294
"IRN",2022,1.57433,NA,NA
"KOR",2011,0.14685,0.14685,0.14685
"TKM",2020,0,0,0
"MDG",2010,44.52075,25.7986,71.64702
"GHA",2000,432.00562,339.66829,539.03086
"LAO",2013,19.93232,14.39734,26.394
"IRN",2016,0.09466,0.09466,0.09466
"MEX",2018,0.30406,0.30406,0.30406
"ETH",2012,160.0346,80.74656,366.03993
"AZE",2014,0,0,0
"COD",2010,381.68203,308.27525,464.91125
"IDN",2017,2.78379,2.55049,3.05856
"NAM",2014,14.04706,11.13792,17.19376
"IDN",2016,4.10898,3.70528,4.57476
"EGY",2007,0,0,0
"NIC",2000,6.77682,5.67816,7.95152
"COD",2013,308.2618,244.20663,384.2299
"YEM",2001,90.3382,40.17415,406.77473
"GAB",2004,187.23305,121.69227,273.2326
"VNM",2017,0.06484,0.06484,0.06484
"DZA",2001,0.00326,0.00326,0.00326
"NGA",2014,287.70493,230.31164,354.64427
"EMR",2015,8.80223,7.06436,11.54229
"AMR",2006,8.5469,8.03275,9.14681
"IRQ",2015,0,0,0
"VUT",2000,124.36588,68.04102,202.9999
"AFR",2020,233.52264,209.9796,261.72055
"OMN",2007,0.00156,0.00156,0.00156
"GUY",2014,29.57988,22.18159,40.42937
"LBR",2012,276.47933,196.95178,378.88186
"AFR",2023,226.8456,203.42023,254.65308
