"Code","Year","Estimate","Low","High"
"SEN",2022,14.71863,5.76734,28.66676
"CPV",2014,0.75073,0.75073,0.75073
"BWA",2022,0.37092,0.37092,0.37092
"KHM",2009,8.39872,3.87936,14.10969
"RWA",2018,25.16817,23.87092,27.05798
"ZMB",2010,45.49037,44.04396,47.16591
"PHL",2021,0.03352,0.01371,0.06094
"PRK",2007,0,0,0
"NGA",2007,151.14578,141.14691,161.45984
"GNQ",2022,44.35709,36.53915,59.21671
"GLOBAL",2003,25.66742,24.44333,26.78518
"WPR",2016,0.39476,0.19317,0.67309
"CPV",2023,0,0,0
"AFR",2022,54.17176,50.26064,65.91534
"SEAR",2011,2.10309,1.18883,3.32722
"SUR",2003,24.06514,24.06514,24.06514
"HND",2007,0.02818,0.02818,0.02818
"GEO",2015,0,0,0
"GIN",2022,73.16186,61.69986,88.35915
"GIN",2018,91.24129,81.88261,102.92194
"IDN",2006,0.8365,0.42401,1.26993
"ZAF",2007,0.73226,0.73226,0.73226
"SOM",2016,14.15455,5.25482,28.17739
"CRI",2009,0.0635,0.0635,0.0635
"VEN",2009,0.25318,0.13362,0.3868
"TZA",2021,40.03634,37.5105,43.16067
"CHN",2011,0.0058,0.0058,0.0058
"WPR",2014,0.51407,0.2535,0.91361
"NAM",2006,36.11501,36.11501,36.11501
"BGD",2008,1.63885,0.74493,2.73762
"VUT",2009,9.45301,3.43746,19.33571
"KOR",2009,0.02943,0.02943,0.02943
"GIN",2008,106.60814,100.03163,113.76047
"ETH",2004,45.03745,12.03866,138.37776
"NER",2009,164.02116,151.97861,177.55019
"ERI",2000,4.36131,1.06808,10.63626
"VEN",2002,0.18085,0.18085,0.18085
"IND",2016,1.20929,0.56236,2.03881
"OMN",2005,0,0,0
"CHN",2014,0,0,0
"KAZ",2010,0,0,0
"SLV",2017,0,0,0
"ECU",2022,0.0099,0.0099,0.0099
"NAM",2018,2.83514,NA,NA
"TKM",2003,0,0,0
"HTI",2008,2.68938,1.02173,5.37875
"ETH",2022,12.39718,4.48723,24.24212
"COL",2005,0.93278,0.93278,0.93278
"TJK",2011,0,0,0
"EMR",2017,2.0246,1.17729,3.36336
"AZE",2019,0,0,0
"AMR",2016,0.35728,0.25675,0.47152
"PNG",2007,38.65959,10.29678,84.1126
"ZAF",2003,2.92781,2.92781,2.92781
"KGZ",2014,0,0,0
"ERI",2021,6.29816,2.50733,11.671
"SOM",2001,35.96241,14.26321,66.88134
"ETH",2006,27.35322,6.76209,85.84456
"EGY",2012,0,0,0
"NIC",2016,0.03646,0.03646,0.03646
"GAB",2023,17.42603,14.93085,21.73224
"ARG",2016,0,0,0
"THA",2018,0.11075,0.11075,0.11075
"AFR",2002,131.8584,125.22687,134.94394
"EUR",2006,0,0,0
"BRA",2019,0.08786,0.08786,0.08786
"NGA",2021,87.29311,66.95378,117.92541
"UGA",2010,79.45466,75.19419,84.14125
"EGY",2017,0,0,0
"TJK",2002,0,0,0
"OMN",2011,0,0,0
"COD",2011,110.77454,92.11092,131.63579
"SLE",2020,118.69739,81.80667,165.43354
"CIV",2011,115.29023,106.94435,124.37125
"RWA",2000,75.20152,71.97529,78.62254
"THA",2019,0.09578,0.09578,0.09578
"PAK",2005,0.5351,0.1774,1.40647
"SOM",2023,14.22221,5.6321,28.19998
"DZA",2010,0.04704,0.04704,0.04704
"CPV",2015,0,0,0
"TKM",2002,0,0,0
"KEN",2000,38.39716,37.01674,39.91464
"TKM",2019,0,0,0
"UGA",2014,48.76422,45.72264,52.33615
"BTN",2000,3.39614,3.39614,3.39614
"SOM",2011,8.51903,3.56309,15.20792
"NPL",2019,0,0,0
"AFR",2001,140.55656,133.49144,144.45483
"SLB",2005,114.37557,43.70108,228.75636
"AGO",2013,42.87687,33.51726,56.03154
"ERI",2002,3.59385,3.59385,3.59385
"ZWE",2006,26.26058,4.77323,76.00065
"TJK",2014,0,0,0
"TKM",2018,0,0,0
"COD",2002,166.4021,151.96312,182.86157
"RWA",2016,25.61417,24.57383,26.88943
"SEN",2000,43.73883,42.44472,45.19344
"CMR",2022,46.24581,37.67981,58.57538
"DZA",2023,0,0,0
"BRA",2009,0.21799,0.21799,0.21799
"NER",2012,163.52737,149.84777,178.75435
"STP",2002,214.11277,214.11277,214.11277
"CRI",2014,0,0,0
"TLS",2015,0,0,0
"ECU",2023,0,0,0
"CIV",2005,146.91712,137.40468,157.3914
"TGO",2002,104.66865,98.73879,111.06035
"CMR",2011,58.66856,54.89242,62.77585
"COM",2000,16.60203,5.59619,33.20406
"ETH",2020,11.65413,4.233,22.91529
"KGZ",2006,0,0,0
"DJI",2023,9.25268,4.39502,13.99468
"SAU",2002,0,0,0
"GLOBAL",2011,18.11078,17.27365,19.31306
"AZE",2022,0,0,0
"MLI",2002,172.59044,163.11783,182.53506
"BLZ",2020,0,0,0
"NPL",2002,0.10876,0.05438,0.17673
"GNB",2012,52.13708,46.98998,58.55581
"COL",2022,0.13969,0.13969,0.13969
"SLE",2002,275.99683,259.44225,293.23531
"SDN",2010,7.63814,3.31497,13.11056
"HTI",2015,0.87219,0.34036,1.6061
"ZMB",2001,140.29773,133.11142,148.30727
"MWI",2010,75.39897,71.27779,80.0056
"SDN",2001,19.99525,8.04421,37.21056
"KEN",2018,21.48899,21.03084,22.02278
"LBR",2016,83.77478,74.98515,94.4569
"CMR",2007,93.49638,87.23028,100.36069
"AFR",2015,62.48022,58.61133,68.67911
"GIN",2001,143.6892,135.60953,152.41289
"GAB",2011,21.99795,20.14608,24.24264
"COL",2013,0.09787,0.09787,0.09787
"TUR",2000,0,0,0
"ZMB",2017,45.24887,42.41078,48.56857
"IRQ",2019,0,0,0
"DJI",2021,14.0335,6.7789,21.28811
"AFG",2015,0.66614,0.2833,1.20594
"LAO",2023,0,0,0
"BRA",2006,0.29031,0.29031,0.29031
"ECU",2015,0,0,0
"OMN",2020,0,0,0
"STP",2004,107.16211,107.16211,107.16211
"EGY",2003,0,0,0
"THA",2007,0.76178,0.76178,0.76178
"ECU",2003,0.60701,0.60701,0.60701
"NIC",2014,0,0,0
"BTN",2022,0,0,0
"GUY",2010,6.94022,3.20318,11.21112
"GEO",2006,0,0,0
"SEAR",2016,1.07683,0.56978,1.71491
"DOM",2000,0.12689,0.12689,0.12689
"VEN",2020,1.37814,0.71017,2.09534
"ARM",2011,0,0,0
"CPV",2018,0,0,0
"IRN",2011,0,0,0
"HND",2016,0,0,0
"IDN",2020,0.51489,0.25289,0.78708
"CAF",2012,135.31134,120.49844,152.29303
"YEM",2017,9.14142,3.81714,17.15155
"YEM",2003,21.4624,6.45175,109.10055
"IRQ",2011,0,0,0
"TUR",2018,0,0,0
"BOL",2011,0.0852,0.0213,0.14909
"AZE",2002,0,0,0
"HTI",2013,1.75192,0.67887,3.41623
"ECU",2013,0,0,0
"UGA",2004,130.47554,123.79148,137.50568
"SDN",2020,16.31786,5.64425,35.18545
"ZWE",2000,26.25979,4.997,74.70025
"COL",2016,0.34279,0.34279,0.34279
"VNM",2004,0.08614,0.04053,0.13005
"NAM",2017,2.86459,NA,NA
"GNQ",2001,65.34771,61.61355,70.81558
"EUR",2019,0,0,0
"COG",2011,40.89182,38.44048,43.36485
"KAZ",2014,0,0,0
"MDG",2023,51.20539,19.88384,95.79478
"TZA",2020,40.29338,37.93979,43.18483
"TCD",2004,90.18071,84.6973,96.22469
"COD",2012,88.06407,72.15108,106.25276
"SUR",2021,0,0,0
"GHA",2012,61.9916,59.48919,64.80447
"SAU",2015,0,0,0
"LKA",2018,0,0,0
"CAF",2013,89.97464,79.89369,101.7573
"CIV",2017,38.52114,35.26678,42.02248
"VNM",2010,0.05275,0.02482,0.08068
"SLE",2021,104.56351,74.41935,144.30666
"PNG",2010,30.83766,8.47512,67.29724
"GHA",2005,66.11747,63.8947,68.56742
"TLS",2013,0.27529,0.27529,0.27529
"BFA",2011,216.31976,194.73745,239.7206
"GAB",2005,17.49237,16.74075,18.51732
"KEN",2007,24.70794,24.08223,25.38098
"SYR",2014,0,0,0
"GLOBAL",2016,14.59045,13.70767,16.04958
"GEO",2018,0,0,0
"PAN",2000,0.04958,0.04958,0.04958
"PNG",2021,24.45846,10.34641,43.4642
"BEN",2004,139.47627,131.43616,148.14175
"DOM",2023,0,0,0
"DJI",2012,0.68967,0.27587,1.37934
"AGO",2006,95.69689,82.82647,111.35493
"VUT",2011,5.75012,2.46434,9.85736
"TLS",2008,27.90911,11.94634,50.15402
"GNB",2020,47.38595,37.9485,62.7839
"CAF",2023,98.05101,75.78914,127.22177
"AZE",2006,0,0,0
"AZE",2007,0,0,0
"IRQ",2012,0,0,0
"GNB",2005,59.85879,56.38451,63.98448
"BFA",2020,88.16646,59.9521,133.23451
"ECU",2008,0.06053,0.06053,0.06053
"COD",2007,182.64582,161.76154,205.3595
